UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role,mobile_number,email_id
8479902459,TN-STU-2021-00001,Kumar Mani,2001-07-03,Nilgiris,Gudalur,"Government Medical College, The Nilgiris (Ooty)",M.E.,Civil Engineering,2023,9.7,"AutoCAD, Soil Testing, Quantity Estimation, Site Supervision, STAAD Pro, Structural Analysis",NONE,Smart Cities,NONE,Government PWD,NONE,Athletics,Junior Project Coordinator,Certified Senior BIM Associate,9211500708,kumar.2459@smart.edu
4733616459,TN-STU-2021-00002,Tharun E.,2006-10-30,Tiruchirappalli,Tiruchirappalli (East),"Shrimati Indira Gandhi College, Trichy",BBA,Business Administration,2024,8.1,"HR Management, Leadership, Marketing Research",Marketing Research,CRM Specialist,NONE,HR Firms,B-Plan Competitions,Table Tennis,Junior Management Trainee,Certified Senior Business Development Associate,9735612441,tharun.6459@smart.edu
9928378856,TN-STU-2022-00003,Varun Thirunavukkarasu,2008-04-20,Dharmapuri,Dharmapuri,"Varuvan Vadivelan Polytechnic College, Dharmapuri",M.E.,Biomedical Engineering,2024,6.4,"MATLAB, Product Testing, Biomechanics",Biomedical Signals,Healthcare IoT,CBET Preparation,Research Labs,Robotics,Athletics,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate,9126758104,varun.8856@smart.edu
6884882440,TN-STU-2021-00004,Laksha Kamaraj,2006-07-08,Theni,Andipatti,"Government Theni Medical College, Theni",M.E.,Civil Engineering,2024,9.4,"Structural Analysis, Surveying, Quantity Estimation, Soil Testing",NONE,NONE,NONE,Government PWD,Construction Challenge,Cricket,Junior Project Coordinator,Certified Senior BIM Associate,9881015295,laksha.2440@smart.edu
7017956955,TN-STU-2020-00005,Girish Umapathi,2001-05-14,Tenkasi,Alangulam,"Sardar Raja College of Engineering, Alangulam",MBA,Business Administration,2026,8.9,"Strategic Planning, HR Management, Supply Chain, Business Analytics",NONE,CRM Specialist,NONE,NONE,YRC,NONE,Junior HR Executive,Certified Senior Business Development Associate,9239865520,girish.6955@smart.edu
3119634399,TN-STU-2020-00006,Varun J.,2008-08-28,Erode,Erode (East),"Nandha College of Nursing, Erode",B.A.LL.B.,Law,2026,9.8,"Contract Negotiation, Legal Drafting, IPC/CrPC Knowledge",Human Rights Law,NONE,IP Law Cert,NONE,Moot Court,Chess,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9340059732,varun.4399@smart.edu
2461042543,TN-STU-2022-00007,Agalya H.,2003-11-16,Ramanathapuram,Ramanathapuram,"Mohamed Sathak Polytechnic College, Kilakarai",M.E.,Civil Engineering,2025,9.2,"Site Supervision, Quantity Estimation, Project Management, Structural Analysis",NONE,NONE,NONE,Government PWD,NSS,Kabaddi,Junior Project Coordinator,Certified Senior BIM Associate,9519733050,agalya.2543@smart.edu
4944899549,TN-STU-2022-00008,Gunasekar Ramasamy,2004-06-24,Dharmapuri,Dharmapuri,"Don Bosco College, Dharmapuri",M.F.A.,Fine Arts,2024,6.3,"Sculpture, Painting, Ceramics, Photography",Art Appreciation,NONE,Photography Certification,Ad Agencies,NSS,NONE,Trainee Illustrator,Certified Senior Animation Artist,9662643686,gunasekar.9549@smart.edu
6633778586,TN-STU-2022-00009,Fazil Suresh,2003-11-30,Salem,Gangavalli,"Periyar University Constituent College of Arts and Science, Idappadi",B.Com,Commerce,2024,6.4,"Accounting, Auditing, Banking Operations, Taxation, Financial Reporting",Corporate Finance,FinTech,NONE,NONE,Commerce Club,Kho-Kho,Trainee Financial Analyst,Certified Senior Banking Associate,9566835641,fazil.8586@smart.edu
9894264595,TN-STU-2021-00010,Tamil Marimuthu,2002-02-14,Chennai,Chepauk-Thiruvallikeni,"Quaid-e-Milleth Government College for Women, Anna Salai",B.A.,English,2026,7.5,"IELTS Coaching, Copywriting, Linguistics, Public Speaking, Literature Analysis, SEO Writing",British Literature,Business English,Copywriting Proficiency,NONE,Elocution Club,Cricket,Junior Content Writer,Certified Senior Copywriter,9453984627,tamil.4595@smart.edu
