UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role
8479902459,TN-STU-2021-00001,Kumar Mani,2001-07-03,Madurai,Thiruthuraipoondi,Kongu Engineering College,M.E.,Civil Engineering,2023.0,9.7,"AutoCAD, Soil Testing, Quantity Estimation, Site Supervision, STAAD Pro, Structural Analysis",,Smart Cities,,Government PWD,,Athletics,Junior Project Coordinator,Associate Construction Specialist
4733616459,TN-STU-2021-00002,Tharun E.,2006-10-30,Vellore,Thiruvallur,VISTAS Chennai,BBA,Business Administration,2024.0,8.1,"HR Management, Leadership, Marketing Research",Marketing Research,CRM Specialist,,HR Firms,B-Plan Competitions,Table Tennis,Junior Management Trainee,Associate HR Consultant
9928378856,TN-STU-2022-00003,Varun Thirunavukkarasu,2008-04-20,Kallakurichi,Kancheepuram,SASTRA University,M.E.,Biomedical Engineering,2024.0,6.4,"MATLAB, Product Testing, Biomechanics",Biomedical Signals,Healthcare IoT,CBET Preparation,Research Labs,Robotics,Athletics,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate
6884882440,TN-STU-2021-00004,Laksha Kamaraj,2006-07-08,Thanjavur,Thiruthuraipoondi,Kongu Engineering College,M.E.,Civil Engineering,2024.0,9.4,"Structural Analysis, Surveying, Quantity Estimation, Soil Testing",,,,Government PWD,Construction Challenge,Cricket,Junior Project Coordinator,Associate Construction Specialist
7017956955,TN-STU-2020-00005,Girish Umapathi,2001-05-14,Erode,Mannargudi,Loyola College,MBA,Business Administration,2026.0,8.9,"Strategic Planning, HR Management, Supply Chain, Business Analytics",,CRM Specialist,,,YRC,,Junior HR Executive,Junior Business Development Associate
3119634399,TN-STU-2020-00006,Varun J.,2008-08-28,Coimbatore,Colachal,School of Excellence in Law,B.A.LL.B.,Law,2026.0,9.8,"Contract Negotiation, Legal Drafting, IPC/CrPC Knowledge",Human Rights Law,,IP Law Cert,,Moot Court,Chess,Junior Corporate Legal Associate,Certified Dispute Resolution Expert
2461042543,TN-STU-2022-00007,Agalya H.,2003-11-16,Madurai,Kancheepuram,Anna University Regional Campus,M.E.,Civil Engineering,2025.0,9.2,"Site Supervision, Quantity Estimation, Project Management, Structural Analysis",,,,Government PWD,NSS,Kabaddi,Junior Project Coordinator,Associate Construction Specialist
4944899549,TN-STU-2022-00008,Gunasekar Ramasamy,2004-06-24,Chennai,Kanniyakumari,Government College of Fine Arts Kumbakonam,M.F.A.,Fine Arts,2024.0,6.3,"Sculpture, Painting, Ceramics, Photography",Art Appreciation,,Photography Certification,Ad Agencies,NSS,,Trainee Illustrator,Certified Senior Animation Artist
6633778586,TN-STU-2022-00009,Fazil Suresh,2003-11-30,Thoothukudi,Poonamallee,PSG College of Arts & Science,B.Com,Commerce,2024.0,6.4,"Accounting, Auditing, Banking Operations, Taxation, Financial Reporting",Corporate Finance,FinTech,,,Commerce Club,Kho-Kho,Trainee Financial Analyst,Junior Banking Associate
9894264595,TN-STU-2021-00010,Tamil Marimuthu,2002-02-14,Kallakurichi,Killiyoor,Madurai Kamaraj University,B.A.,English,2026.0,7.5,"IELTS Coaching, Copywriting, Linguistics, Public Speaking, Literature Analysis, SEO Writing",British Literature,Business English,Copywriting Proficiency,,Elocution Club,Cricket,Junior Content Writer,Certified Corporate Trainer
